location,location_name,date,value
LT,Lithuania,2020-01-27,0
LU,Luxembourg,2020-01-27,0
MT,Malta,2020-01-27,0
NL,Netherlands,2020-01-27,0
NO,Norway,2020-01-27,0
PL,Poland,2020-01-27,0
PT,Portugal,2020-01-27,0
RO,Romania,2020-01-27,0
SK,Slovakia,2020-01-27,0
SI,Slovenia,2020-01-27,0
ES,Spain,2020-01-27,0
SE,Sweden,2020-01-27,0
CH,Switzerland,2020-01-27,0
GB,United Kingdom,2020-01-27,0
AT,Austria,2020-01-28,0
BE,Belgium,2020-01-28,0
BG,Bulgaria,2020-01-28,0
HR,Croatia,2020-01-28,0
CY,Cyprus,2020-01-28,0
CZ,Czechia,2020-01-28,0
DK,Denmark,2020-01-28,0
EE,Estonia,2020-01-28,0
FI,Finland,2020-01-28,0
FR,France,2020-01-28,0
DE,Germany,2020-01-28,0
GR,Greece,2020-01-28,0
HU,Hungary,2020-01-28,0
IS,Iceland,2020-01-28,0
IE,Ireland,2020-01-28,0
IT,Italy,2020-01-28,0
LV,Latvia,2020-01-28,0
LI,Liechtenstein,2020-01-28,0
LT,Lithuania,2020-01-28,0
LU,Luxembourg,2020-01-28,0
MT,Malta,2020-01-28,0
NL,Netherlands,2020-01-28,0
NO,Norway,2020-01-28,0
PL,Poland,2020-01-28,0
PT,Portugal,2020-01-28,0
RO,Romania,2020-01-28,0
SK,Slovakia,2020-01-28,0
SI,Slovenia,2020-01-28,0
ES,Spain,2020-01-28,0
SE,Sweden,2020-01-28,0
CH,Switzerland,2020-01-28,0
GB,United Kingdom,2020-01-28,0
AT,Austria,2020-01-29,0
BE,Belgium,2020-01-29,0
BG,Bulgaria,2020-01-29,0
HR,Croatia,2020-01-29,0
CY,Cyprus,2020-01-29,0
CZ,Czechia,2020-01-29,0
DK,Denmark,2020-01-29,0
EE,Estonia,2020-01-29,0
FI,Finland,2020-01-29,0
FR,France,2020-01-29,0
DE,Germany,2020-01-29,0
GR,Greece,2020-01-29,0
HU,Hungary,2020-01-29,0
IS,Iceland,2020-01-29,0
IE,Ireland,2020-01-29,0
IT,Italy,2020-01-29,0
LV,Latvia,2020-01-29,0
LI,Liechtenstein,2020-01-29,0
LT,Lithuania,2020-01-29,0
LU,Luxembourg,2020-01-29,0
MT,Malta,2020-01-29,0
NL,Netherlands,2020-01-29,0
NO,Norway,2020-01-29,0
PL,Poland,2020-01-29,0
PT,Portugal,2020-01-29,0
RO,Romania,2020-01-29,0
SK,Slovakia,2020-01-29,0
SI,Slovenia,2020-01-29,0
ES,Spain,2020-01-29,0
SE,Sweden,2020-01-29,0
CH,Switzerland,2020-01-29,0
GB,United Kingdom,2020-01-29,0
AT,Austria,2020-01-30,0
BE,Belgium,2020-01-30,0
BG,Bulgaria,2020-01-30,0
HR,Croatia,2020-01-30,0
CY,Cyprus,2020-01-30,0
CZ,Czechia,2020-01-30,0
DK,Denmark,2020-01-30,0
EE,Estonia,2020-01-30,0
FI,Finland,2020-01-30,0
FR,France,2020-01-30,0
DE,Germany,2020-01-30,0
GR,Greece,2020-01-30,0
HU,Hungary,2020-01-30,0
IS,Iceland,2020-01-30,0
IE,Ireland,2020-01-30,0
IT,Italy,2020-01-30,0
LV,Latvia,2020-01-30,0
LI,Liechtenstein,2020-01-30,0
LT,Lithuania,2020-01-30,0
LU,Luxembourg,2020-01-30,0
MT,Malta,2020-01-30,0
NL,Netherlands,2020-01-30,0
NO,Norway,2020-01-30,0
PL,Poland,2020-01-30,0
PT,Portugal,2020-01-30,0
RO,Romania,2020-01-30,0
SK,Slovakia,2020-01-30,0
SI,Slovenia,2020-01-30,0
ES,Spain,2020-01-30,0
SE,Sweden,2020-01-30,0
CH,Switzerland,2020-01-30,0
GB,United Kingdom,2020-01-30,0
AT,Austria,2020-01-31,0
BE,Belgium,2020-01-31,0
BG,Bulgaria,2020-01-31,0
HR,Croatia,2020-01-31,0
CY,Cyprus,2020-01-31,0
CZ,Czechia,2020-01-31,0
DK,Denmark,2020-01-31,0
EE,Estonia,2020-01-31,0
FI,Finland,2020-01-31,0
FR,France,2020-01-31,0
DE,Germany,2020-01-31,0
GR,Greece,2020-01-31,0
HU,Hungary,2020-01-31,0
IS,Iceland,2020-01-31,0
IE,Ireland,2020-01-31,0
IT,Italy,2020-01-31,0
LV,Latvia,2020-01-31,0
LI,Liechtenstein,2020-01-31,0
LT,Lithuania,2020-01-31,0
LU,Luxembourg,2020-01-31,0
MT,Malta,2020-01-31,0
NL,Netherlands,2020-01-31,0
NO,Norway,2020-01-31,0
PL,Poland,2020-01-31,0
PT,Portugal,2020-01-31,0
RO,Romania,2020-01-31,0
SK,Slovakia,2020-01-31,0
SI,Slovenia,2020-01-31,0
ES,Spain,2020-01-31,0
SE,Sweden,2020-01-31,0
CH,Switzerland,2020-01-31,0
GB,United Kingdom,2020-01-31,0
AT,Austria,2020-02-01,0
BE,Belgium,2020-02-01,0
BG,Bulgaria,2020-02-01,0
HR,Croatia,2020-02-01,0
CY,Cyprus,2020-02-01,0
CZ,Czechia,2020-02-01,0
DK,Denmark,2020-02-01,0
EE,Estonia,2020-02-01,0
FI,Finland,2020-02-01,0
FR,France,2020-02-01,0
DE,Germany,2020-02-01,0
GR,Greece,2020-02-01,0
HU,Hungary,2020-02-01,0
IS,Iceland,2020-02-01,0
IE,Ireland,2020-02-01,0
IT,Italy,2020-02-01,0
LV,Latvia,2020-02-01,0
LI,Liechtenstein,2020-02-01,0
LT,Lithuania,2020-02-01,0
LU,Luxembourg,2020-02-01,0
MT,Malta,2020-02-01,0
NL,Netherlands,2020-02-01,0
NO,Norway,2020-02-01,0
PL,Poland,2020-02-01,0
PT,Portugal,2020-02-01,0
RO,Romania,2020-02-01,0
SK,Slovakia,2020-02-01,0
SI,Slovenia,2020-02-01,0
ES,Spain,2020-02-01,0
SE,Sweden,2020-02-01,0
CH,Switzerland,2020-02-01,0
GB,United Kingdom,2020-02-01,0
AT,Austria,2020-02-02,0
BE,Belgium,2020-02-02,0
BG,Bulgaria,2020-02-02,0
HR,Croatia,2020-02-02,0
CY,Cyprus,2020-02-02,0
CZ,Czechia,2020-02-02,0
DK,Denmark,2020-02-02,0
EE,Estonia,2020-02-02,0
FI,Finland,2020-02-02,0
FR,France,2020-02-02,0
DE,Germany,2020-02-02,0
GR,Greece,2020-02-02,0
HU,Hungary,2020-02-02,0
IS,Iceland,2020-02-02,0
IE,Ireland,2020-02-02,0
IT,Italy,2020-02-02,0
LV,Latvia,2020-02-02,0
LI,Liechtenstein,2020-02-02,0
LT,Lithuania,2020-02-02,0
LU,Luxembourg,2020-02-02,0
MT,Malta,2020-02-02,0
NL,Netherlands,2020-02-02,0
NO,Norway,2020-02-02,0
PL,Poland,2020-02-02,0
PT,Portugal,2020-02-02,0
RO,Romania,2020-02-02,0
SK,Slovakia,2020-02-02,0
SI,Slovenia,2020-02-02,0
ES,Spain,2020-02-02,0
SE,Sweden,2020-02-02,0
CH,Switzerland,2020-02-02,0
GB,United Kingdom,2020-02-02,0
AT,Austria,2020-02-03,0
BE,Belgium,2020-02-03,0
BG,Bulgaria,2020-02-03,0
HR,Croatia,2020-02-03,0
CY,Cyprus,2020-02-03,0
CZ,Czechia,2020-02-03,0
DK,Denmark,2020-02-03,0
EE,Estonia,2020-02-03,0
FI,Finland,2020-02-03,0
FR,France,2020-02-03,0
DE,Germany,2020-02-03,0
GR,Greece,2020-02-03,0
HU,Hungary,2020-02-03,0
IS,Iceland,2020-02-03,0
IE,Ireland,2020-02-03,0
IT,Italy,2020-02-03,0
LV,Latvia,2020-02-03,0
LI,Liechtenstein,2020-02-03,0
LT,Lithuania,2020-02-03,0
LU,Luxembourg,2020-02-03,0
MT,Malta,2020-02-03,0
NL,Netherlands,2020-02-03,0
NO,Norway,2020-02-03,0
PL,Poland,2020-02-03,0
PT,Portugal,2020-02-03,0
RO,Romania,2020-02-03,0
SK,Slovakia,2020-02-03,0
SI,Slovenia,2020-02-03,0
ES,Spain,2020-02-03,0
SE,Sweden,2020-02-03,0
CH,Switzerland,2020-02-03,0
GB,United Kingdom,2020-02-03,0
AT,Austria,2020-02-04,0
BE,Belgium,2020-02-04,0
BG,Bulgaria,2020-02-04,0
HR,Croatia,2020-02-04,0
CY,Cyprus,2020-02-04,0
CZ,Czechia,2020-02-04,0
DK,Denmark,2020-02-04,0
EE,Estonia,2020-02-04,0
FI,Finland,2020-02-04,0
FR,France,2020-02-04,0
DE,Germany,2020-02-04,0
GR,Greece,2020-02-04,0
HU,Hungary,2020-02-04,0
IS,Iceland,2020-02-04,0
IE,Ireland,2020-02-04,0
IT,Italy,2020-02-04,0
LV,Latvia,2020-02-04,0
LI,Liechtenstein,2020-02-04,0
LT,Lithuania,2020-02-04,0
LU,Luxembourg,2020-02-04,0
MT,Malta,2020-02-04,0
NL,Netherlands,2020-02-04,0
NO,Norway,2020-02-04,0
PL,Poland,2020-02-04,0
PT,Portugal,2020-02-04,0
RO,Romania,2020-02-04,0
SK,Slovakia,2020-02-04,0
SI,Slovenia,2020-02-04,0
ES,Spain,2020-02-04,0
SE,Sweden,2020-02-04,0
CH,Switzerland,2020-02-04,0
GB,United Kingdom,2020-02-04,0
AT,Austria,2020-02-05,0
BE,Belgium,2020-02-05,0
BG,Bulgaria,2020-02-05,0
HR,Croatia,2020-02-05,0
CY,Cyprus,2020-02-05,0
CZ,Czechia,2020-02-05,0
DK,Denmark,2020-02-05,0
EE,Estonia,2020-02-05,0
FI,Finland,2020-02-05,0
FR,France,2020-02-05,0
DE,Germany,2020-02-05,0
GR,Greece,2020-02-05,0
HU,Hungary,2020-02-05,0
IS,Iceland,2020-02-05,0
IE,Ireland,2020-02-05,0
IT,Italy,2020-02-05,0
LV,Latvia,2020-02-05,0
LI,Liechtenstein,2020-02-05,0
LT,Lithuania,2020-02-05,0
LU,Luxembourg,2020-02-05,0
MT,Malta,2020-02-05,0
NL,Netherlands,2020-02-05,0
NO,Norway,2020-02-05,0
PL,Poland,2020-02-05,0
PT,Portugal,2020-02-05,0
RO,Romania,2020-02-05,0
SK,Slovakia,2020-02-05,0
SI,Slovenia,2020-02-05,0
ES,Spain,2020-02-05,0
SE,Sweden,2020-02-05,0
CH,Switzerland,2020-02-05,0
GB,United Kingdom,2020-02-05,0
AT,Austria,2020-02-06,0
BE,Belgium,2020-02-06,0
BG,Bulgaria,2020-02-06,0
HR,Croatia,2020-02-06,0
CY,Cyprus,2020-02-06,0
CZ,Czechia,2020-02-06,0
DK,Denmark,2020-02-06,0
EE,Estonia,2020-02-06,0
FI,Finland,2020-02-06,0
FR,France,2020-02-06,0
DE,Germany,2020-02-06,0
GR,Greece,2020-02-06,0
HU,Hungary,2020-02-06,0
IS,Iceland,2020-02-06,0
IE,Ireland,2020-02-06,0
IT,Italy,2020-02-06,0
LV,Latvia,2020-02-06,0
LI,Liechtenstein,2020-02-06,0
LT,Lithuania,2020-02-06,0
LU,Luxembourg,2020-02-06,0
MT,Malta,2020-02-06,0
NL,Netherlands,2020-02-06,0
NO,Norway,2020-02-06,0
PL,Poland,2020-02-06,0
PT,Portugal,2020-02-06,0
RO,Romania,2020-02-06,0
SK,Slovakia,2020-02-06,0
SI,Slovenia,2020-02-06,0
ES,Spain,2020-02-06,0
SE,Sweden,2020-02-06,0
CH,Switzerland,2020-02-06,0
GB,United Kingdom,2020-02-06,0
AT,Austria,2020-02-07,0
BE,Belgium,2020-02-07,0
BG,Bulgaria,2020-02-07,0
HR,Croatia,2020-02-07,0
CY,Cyprus,2020-02-07,0
CZ,Czechia,2020-02-07,0
DK,Denmark,2020-02-07,0
EE,Estonia,2020-02-07,0
FI,Finland,2020-02-07,0
FR,France,2020-02-07,0
DE,Germany,2020-02-07,0
GR,Greece,2020-02-07,0
HU,Hungary,2020-02-07,0
IS,Iceland,2020-02-07,0
IE,Ireland,2020-02-07,0
IT,Italy,2020-02-07,0
LV,Latvia,2020-02-07,0
LI,Liechtenstein,2020-02-07,0
LT,Lithuania,2020-02-07,0
LU,Luxembourg,2020-02-07,0
MT,Malta,2020-02-07,0
NL,Netherlands,2020-02-07,0
NO,Norway,2020-02-07,0
PL,Poland,2020-02-07,0
PT,Portugal,2020-02-07,0
RO,Romania,2020-02-07,0
SK,Slovakia,2020-02-07,0
SI,Slovenia,2020-02-07,0
ES,Spain,2020-02-07,0
SE,Sweden,2020-02-07,0
CH,Switzerland,2020-02-07,0
GB,United Kingdom,2020-02-07,0
AT,Austria,2020-02-08,0
BE,Belgium,2020-02-08,0
BG,Bulgaria,2020-02-08,0
HR,Croatia,2020-02-08,0
CY,Cyprus,2020-02-08,0
CZ,Czechia,2020-02-08,0
DK,Denmark,2020-02-08,0
EE,Estonia,2020-02-08,0
FI,Finland,2020-02-08,0
FR,France,2020-02-08,0
DE,Germany,2020-02-08,0
GR,Greece,2020-02-08,0
HU,Hungary,2020-02-08,0
IS,Iceland,2020-02-08,0
IE,Ireland,2020-02-08,0
IT,Italy,2020-02-08,0
LV,Latvia,2020-02-08,0
LI,Liechtenstein,2020-02-08,0
LT,Lithuania,2020-02-08,0
LU,Luxembourg,2020-02-08,0
MT,Malta,2020-02-08,0
NL,Netherlands,2020-02-08,0
NO,Norway,2020-02-08,0
PL,Poland,2020-02-08,0
PT,Portugal,2020-02-08,0
RO,Romania,2020-02-08,0
SK,Slovakia,2020-02-08,0
SI,Slovenia,2020-02-08,0
ES,Spain,2020-02-08,0
SE,Sweden,2020-02-08,0
CH,Switzerland,2020-02-08,0
GB,United Kingdom,2020-02-08,0
AT,Austria,2020-02-09,0
BE,Belgium,2020-02-09,0
BG,Bulgaria,2020-02-09,0
HR,Croatia,2020-02-09,0
CY,Cyprus,2020-02-09,0
CZ,Czechia,2020-02-09,0
DK,Denmark,2020-02-09,0
EE,Estonia,2020-02-09,0
FI,Finland,2020-02-09,0
FR,France,2020-02-09,0
DE,Germany,2020-02-09,0
GR,Greece,2020-02-09,0
HU,Hungary,2020-02-09,0
IS,Iceland,2020-02-09,0
IE,Ireland,2020-02-09,0
IT,Italy,2020-02-09,0
LV,Latvia,2020-02-09,0
LI,Liechtenstein,2020-02-09,0
LT,Lithuania,2020-02-09,0
LU,Luxembourg,2020-02-09,0
MT,Malta,2020-02-09,0
NL,Netherlands,2020-02-09,0
NO,Norway,2020-02-09,0
PL,Poland,2020-02-09,0
PT,Portugal,2020-02-09,0
RO,Romania,2020-02-09,0
SK,Slovakia,2020-02-09,0
SI,Slovenia,2020-02-09,0
ES,Spain,2020-02-09,0
SE,Sweden,2020-02-09,0
CH,Switzerland,2020-02-09,0
GB,United Kingdom,2020-02-09,0
AT,Austria,2020-02-10,0
BE,Belgium,2020-02-10,0
BG,Bulgaria,2020-02-10,0
HR,Croatia,2020-02-10,0
CY,Cyprus,2020-02-10,0
CZ,Czechia,2020-02-10,0
DK,Denmark,2020-02-10,0
EE,Estonia,2020-02-10,0
FI,Finland,2020-02-10,0
FR,France,2020-02-10,0
DE,Germany,2020-02-10,0
GR,Greece,2020-02-10,0
HU,Hungary,2020-02-10,0
IS,Iceland,2020-02-10,0
IE,Ireland,2020-02-10,0
IT,Italy,2020-02-10,0
LV,Latvia,2020-02-10,0
LI,Liechtenstein,2020-02-10,0
LT,Lithuania,2020-02-10,0
LU,Luxembourg,2020-02-10,0
MT,Malta,2020-02-10,0
NL,Netherlands,2020-02-10,0
NO,Norway,2020-02-10,0
PL,Poland,2020-02-10,0
PT,Portugal,2020-02-10,0
RO,Romania,2020-02-10,0
SK,Slovakia,2020-02-10,0
SI,Slovenia,2020-02-10,0
ES,Spain,2020-02-10,0
SE,Sweden,2020-02-10,0
CH,Switzerland,2020-02-10,0
GB,United Kingdom,2020-02-10,0
AT,Austria,2020-02-11,0
BE,Belgium,2020-02-11,0
BG,Bulgaria,2020-02-11,0
HR,Croatia,2020-02-11,0
CY,Cyprus,2020-02-11,0
CZ,Czechia,2020-02-11,0
DK,Denmark,2020-02-11,0
EE,Estonia,2020-02-11,0
FI,Finland,2020-02-11,0
FR,France,2020-02-11,0
DE,Germany,2020-02-11,0
GR,Greece,2020-02-11,0
HU,Hungary,2020-02-11,0
IS,Iceland,2020-02-11,0
IE,Ireland,2020-02-11,0
IT,Italy,2020-02-11,0
LV,Latvia,2020-02-11,0
LI,Liechtenstein,2020-02-11,0
LT,Lithuania,2020-02-11,0
LU,Luxembourg,2020-02-11,0
MT,Malta,2020-02-11,0
NL,Netherlands,2020-02-11,0
NO,Norway,2020-02-11,0
PL,Poland,2020-02-11,0
PT,Portugal,2020-02-11,0
RO,Romania,2020-02-11,0
SK,Slovakia,2020-02-11,0
SI,Slovenia,2020-02-11,0
ES,Spain,2020-02-11,0
SE,Sweden,2020-02-11,0
CH,Switzerland,2020-02-11,0
GB,United Kingdom,2020-02-11,0
AT,Austria,2020-02-12,0
BE,Belgium,2020-02-12,0
BG,Bulgaria,2020-02-12,0
HR,Croatia,2020-02-12,0
CY,Cyprus,2020-02-12,0
CZ,Czechia,2020-02-12,0
DK,Denmark,2020-02-12,0
EE,Estonia,2020-02-12,0
FI,Finland,2020-02-12,0
FR,France,2020-02-12,0
DE,Germany,2020-02-12,0
GR,Greece,2020-02-12,0
HU,Hungary,2020-02-12,0
IS,Iceland,2020-02-12,0
IE,Ireland,2020-02-12,0
IT,Italy,2020-02-12,0
LV,Latvia,2020-02-12,0
LI,Liechtenstein,2020-02-12,0
LT,Lithuania,2020-02-12,0
LU,Luxembourg,2020-02-12,0
MT,Malta,2020-02-12,0
NL,Netherlands,2020-02-12,0
NO,Norway,2020-02-12,0
PL,Poland,2020-02-12,0
PT,Portugal,2020-02-12,0
RO,Romania,2020-02-12,0
SK,Slovakia,2020-02-12,0
SI,Slovenia,2020-02-12,0
ES,Spain,2020-02-12,0
SE,Sweden,2020-02-12,0
CH,Switzerland,2020-02-12,0
GB,United Kingdom,2020-02-12,0
AT,Austria,2020-02-13,0
BE,Belgium,2020-02-13,0
BG,Bulgaria,2020-02-13,0
HR,Croatia,2020-02-13,0
CY,Cyprus,2020-02-13,0
CZ,Czechia,2020-02-13,0
DK,Denmark,2020-02-13,0
EE,Estonia,2020-02-13,0
FI,Finland,2020-02-13,0
FR,France,2020-02-13,0
DE,Germany,2020-02-13,0
GR,Greece,2020-02-13,0
HU,Hungary,2020-02-13,0
IS,Iceland,2020-02-13,0
IE,Ireland,2020-02-13,0
IT,Italy,2020-02-13,0
LV,Latvia,2020-02-13,0
LI,Liechtenstein,2020-02-13,0
LT,Lithuania,2020-02-13,0
LU,Luxembourg,2020-02-13,0
MT,Malta,2020-02-13,0
NL,Netherlands,2020-02-13,0
NO,Norway,2020-02-13,0
PL,Poland,2020-02-13,0
PT,Portugal,2020-02-13,0
RO,Romania,2020-02-13,0
SK,Slovakia,2020-02-13,0
SI,Slovenia,2020-02-13,0
ES,Spain,2020-02-13,0
SE,Sweden,2020-02-13,0
CH,Switzerland,2020-02-13,0
GB,United Kingdom,2020-02-13,0
AT,Austria,2020-02-14,0
BE,Belgium,2020-02-14,0
BG,Bulgaria,2020-02-14,0
HR,Croatia,2020-02-14,0
CY,Cyprus,2020-02-14,0
CZ,Czechia,2020-02-14,0
DK,Denmark,2020-02-14,0
EE,Estonia,2020-02-14,0
FI,Finland,2020-02-14,0
FR,France,2020-02-14,0
DE,Germany,2020-02-14,0
GR,Greece,2020-02-14,0
HU,Hungary,2020-02-14,0
IS,Iceland,2020-02-14,0
IE,Ireland,2020-02-14,0
IT,Italy,2020-02-14,0
LV,Latvia,2020-02-14,0
LI,Liechtenstein,2020-02-14,0
LT,Lithuania,2020-02-14,0
LU,Luxembourg,2020-02-14,0
MT,Malta,2020-02-14,0
NL,Netherlands,2020-02-14,0
NO,Norway,2020-02-14,0
PL,Poland,2020-02-14,0
PT,Portugal,2020-02-14,0
RO,Romania,2020-02-14,0
SK,Slovakia,2020-02-14,0
SI,Slovenia,2020-02-14,0
ES,Spain,2020-02-14,0
SE,Sweden,2020-02-14,0
CH,Switzerland,2020-02-14,0
GB,United Kingdom,2020-02-14,0
AT,Austria,2020-02-15,0
BE,Belgium,2020-02-15,0
BG,Bulgaria,2020-02-15,0
HR,Croatia,2020-02-15,0
CY,Cyprus,2020-02-15,0
CZ,Czechia,2020-02-15,0
DK,Denmark,2020-02-15,0
EE,Estonia,2020-02-15,0
FI,Finland,2020-02-15,0
FR,France,2020-02-15,1
DE,Germany,2020-02-15,0
GR,Greece,2020-02-15,0
HU,Hungary,2020-02-15,0
IS,Iceland,2020-02-15,0
IE,Ireland,2020-02-15,0
IT,Italy,2020-02-15,0
LV,Latvia,2020-02-15,0
LI,Liechtenstein,2020-02-15,0
LT,Lithuania,2020-02-15,0
LU,Luxembourg,2020-02-15,0
MT,Malta,2020-02-15,0
NL,Netherlands,2020-02-15,0
NO,Norway,2020-02-15,0
PL,Poland,2020-02-15,0
PT,Portugal,2020-02-15,0
RO,Romania,2020-02-15,0
SK,Slovakia,2020-02-15,0
SI,Slovenia,2020-02-15,0
ES,Spain,2020-02-15,0
SE,Sweden,2020-02-15,0
CH,Switzerland,2020-02-15,0
GB,United Kingdom,2020-02-15,0
AT,Austria,2020-02-16,0
BE,Belgium,2020-02-16,0
BG,Bulgaria,2020-02-16,0
HR,Croatia,2020-02-16,0
CY,Cyprus,2020-02-16,0
CZ,Czechia,2020-02-16,0
DK,Denmark,2020-02-16,0
EE,Estonia,2020-02-16,0
FI,Finland,2020-02-16,0
FR,France,2020-02-16,0
DE,Germany,2020-02-16,0
GR,Greece,2020-02-16,0
HU,Hungary,2020-02-16,0
IS,Iceland,2020-02-16,0
IE,Ireland,2020-02-16,0
IT,Italy,2020-02-16,0
LV,Latvia,2020-02-16,0
LI,Liechtenstein,2020-02-16,0
LT,Lithuania,2020-02-16,0
LU,Luxembourg,2020-02-16,0
MT,Malta,2020-02-16,0
NL,Netherlands,2020-02-16,0
NO,Norway,2020-02-16,0
PL,Poland,2020-02-16,0
PT,Portugal,2020-02-16,0
RO,Romania,2020-02-16,0
SK,Slovakia,2020-02-16,0
SI,Slovenia,2020-02-16,0
ES,Spain,2020-02-16,0
SE,Sweden,2020-02-16,0
CH,Switzerland,2020-02-16,0
GB,United Kingdom,2020-02-16,0
AT,Austria,2020-02-17,0
BE,Belgium,2020-02-17,0
BG,Bulgaria,2020-02-17,0
HR,Croatia,2020-02-17,0
CY,Cyprus,2020-02-17,0
CZ,Czechia,2020-02-17,0
DK,Denmark,2020-02-17,0
EE,Estonia,2020-02-17,0
FI,Finland,2020-02-17,0
FR,France,2020-02-17,0
DE,Germany,2020-02-17,0
GR,Greece,2020-02-17,0
HU,Hungary,2020-02-17,0
IS,Iceland,2020-02-17,0
IE,Ireland,2020-02-17,0
IT,Italy,2020-02-17,0
LV,Latvia,2020-02-17,0
LI,Liechtenstein,2020-02-17,0
